factID,arrestID,dateID,locationID
1,280255493,20240110,POINT (-73.956312 40.814845)
2,279805419,20240102,POINT (-73.9305713255961 40.6744956865259)
3,279895750,20240103,POINT (-73.846499 40.662526)
4,280809090,20240119,POINT (-73.843908 40.855793)
5,280357135,20240111,POINT (-73.934343 40.694456)
6,281488967,20240201,POINT (-73.7762339071953 40.6799807384666)
7,280769124,20240119,POINT (-74.000415 40.737547)
8,281338081,20240130,POINT (-73.957499 40.81478)
9,281426006,20240131,POINT (-73.8960011932583 40.8162058439227)
10,281606761,20240203,POINT (-73.834076 40.692773)
11,281422833,20240131,POINT (-73.924051 40.68964)
12,281438374,20240131,POINT (-73.905128 40.648698)
13,281179458,20240126,POINT (-73.930572 40.674593)
14,281817070,20240207,POINT (-73.944984 40.688736)
15,281544391,20240202,POINT (-73.97548 40.784499)
16,282248602,20240215,POINT (-73.865086 40.885545)
17,282525531,20240220,POINT (-73.915361 40.769552)
18,282241136,20240215,POINT (-73.964519 40.693571)
19,282453654,20240219,POINT (-73.97111 40.756789)
20,282969504,20240229,POINT (-73.8515418216779 40.7226409964758)
21,283856698,20240316,POINT (-73.985776 40.757656)
22,283166738,20240304,POINT (-73.8271260588639 40.8307223277672)
23,283919956,20240318,POINT (-73.775929 40.680077)
24,283323819,20240306,POINT (-73.94505 40.810915)
25,283919877,20240318,POINT (-73.9305713255961 40.6744956865259)
26,280299503,20240110,POINT (-73.881707 40.75106)
27,280170051,20240108,POINT (-73.999723 40.725195)
28,280458719,20240113,POINT (-73.956312 40.814845)
29,280349846,20240111,POINT (-73.92837 40.651202)
30,280912825,20240122,POINT (-74.0769560907194 40.62016061339514)
31,281488926,20240201,POINT (-73.888908 40.81818)
32,281237720,20240128,POINT (-73.991784 40.749404)
33,281223473,20240127,POINT (-73.95082 40.648859)
34,281338070,20240130,POINT (-73.98979219054627 40.757232265258125)
35,281297202,20240129,POINT (-73.870438 40.865997)
36,281169718,20240126,POINT (-73.788916 40.709601)
37,280429169,20240112,POINT (-73.94348479163442 40.79607335719217)
38,279846363,20240102,POINT (-73.92850059582707 40.634129631694826)
39,280805057,20240119,POINT (-73.852033463877 40.86291943094377)
40,281217464,20240126,POINT (-73.942047 40.759373)
41,281128587,20240125,POINT (-73.931999 40.674225)
42,279786329,20240101,POINT (-73.895785 40.816057)
43,280346988,20240111,POINT (-73.775929 40.680077)
44,280286299,20240110,POINT (-73.79165432279723 40.70485539196162)
45,280206714,20240109,POINT (-73.91295332540044 40.81426834572852)
46,281372257,20240130,POINT (-73.93739654434637 40.74891559127928)
47,281052346,20240124,POINT (-73.985702 40.76539)
48,280989216,20240123,POINT (-73.900591 40.853578)
49,280255470,20240110,POINT (-73.919455 40.837774)
50,280672588,20240117,POINT (-73.92592932593037 40.82781161940969)
51,280849034,20240120,POINT (-73.960409 40.580994)
52,281375280,20240131,POINT (-74.005693 40.730839)
53,281366460,20240130,POINT (-73.90186084855698 40.85458750745756)
54,279947725,20240104,POINT (-73.8806 40.869067)
55,280041987,20240105,POINT (-73.871197 40.733729)
56,279833434,20240102,POINT (-73.997351 40.715949)
57,281027339,20240124,POINT (-73.930942 40.822622)
58,280072670,20240106,POINT (-73.733181 40.722174)
59,280189348,20240109,POINT (-73.893659 40.854139)
60,281107073,20240125,POINT (-73.87532248292224 40.76300881356903)
61,279795390,20240102,POINT (-74.149217 40.623238)
62,279784140,20240101,POINT (-73.807364 40.699795)
63,280429903,20240112,POINT (-73.85968215131135 40.889223163198785)
64,281132853,20240125,POINT (-73.98979219054627 40.757232265258125)
65,280298774,20240110,POINT (-73.9056404608319 40.682382877170305)
66,281097232,20240125,POINT (-73.7501173648331 40.6027762300781)
67,279794477,20240101,POINT (-73.93208 40.773748)
68,280809096,20240119,POINT (-73.91179089095228 40.63646482137864)
69,279985235,20240104,POINT (-73.859177 40.748255)
70,280558806,20240115,POINT (-73.901881 40.861693)
71,280513775,20240114,POINT (-73.986467 40.771984)
72,281161796,20240126,POINT (-73.952026 40.812592)
73,281287996,20240129,POINT (-73.994398 40.753455)
74,280921631,20240122,POINT (-73.859783398188 40.82407498496885)
75,281343222,20240130,POINT (-74.00884 40.630892)
76,280228021,20240109,POINT (-73.916893 40.848304)
77,281173352,20240126,POINT (-73.923499 40.812289)
78,280883638,20240121,POINT (-73.807364 40.699795)
79,281045045,20240124,POINT (-73.943937 40.638872)
80,280299658,20240110,POINT (-73.918668 40.816328)
81,280511912,20240114,POINT (-74.09935333426967 40.63410070326395)
82,279936172,20240104,POINT (-73.922141 40.805032)
83,280651866,20240117,POINT (-73.919455 40.837774)
